serviceCharge,picturecount,pricetrend,livingSpace,baseRentRange,noRooms,noRoomsRange,livingSpaceRange,totalRent
114.0,12,1.85,58.26,2,2,2,2,459.0
185.0,10,1.61,70.0,5,2,2,3,860.0
140.0,15,4.58,33.0,3,1,1,1,645.0
190.0,22,3.49,105.0,5,4,4,5,900.0
280.0,7,7.65,96.63,9,3,3,4,3380.0
130.0,9,5.7,52.47,7,2,2,2,1474.0
220.0,10,4.9,79.0,6,2,2,3,1030.0
113.0,5,3.18,57.76,2,2,2,2,522.0
90.0,6,1.92,48.0,1,2,2,2,310.0
243.0,10,3.68,150.0,8,3,3,6,1893.0
80.0,14,2.72,33.0,1,1,1,1,380.0
52.0,11,1.3,43.29,1,1,1,2,352.29
52.11,11,8.67,35.94,5,1,1,1,789.96
145.0,19,0.36,66.0,1,2,2,3,442.0
140.0,6,4.22,58.57,2,2,2,2,450.0
250.0,8,2.89,88.0,5,3,3,4,1050.0
110.0,1,4.66,61.0,3,3,3,3,520.0
80.0,10,1.75,76.0,3,3,3,3,536.0
150.0,18,3.7,90.0,5,3,3,4,900.0
100.0,13,1.85,75.0,5,2,2,3,830.0
191.0,5,2.59,78.0,2,3,3,3,649.43
180.0,27,7.43,25.0,5,1,1,1,980.0
250.0,14,6.9,113.0,7,3,3,5,1500.0
74.0,3,3.15,63.01,3,3,3,3,541.0
230.0,0,2.78,83.0,5,3,3,4,900.0
92.0,8,4.4,47.79,3,2,2,2,549.0
85.0,5,3.17,59.0,2,2,2,2,445.0
111.0,8,3.7,59.33,1,2,2,2,474.0
195.0,7,3.74,85.0,3,2,2,4,695.0
173.18,4,10.59,43.61,2,1,1,2,555.64
275.0,14,2.33,113.0,7,4,4,5,1330.0
145.0,12,3.85,50.0,3,2,2,2,640.0
97.0,10,3.41,59.76,2,3,3,2,526.0
115.0,16,3.86,74.7,5,3,3,3,815.0
150.0,7,0.36,59.86,2,3,3,2,540.0
165.6,16,3.4,92.0,6,4,4,4,993.6
150.0,8,3.33,60.0,2,2,2,2,550.0
82.61,12,2.37,63.55,2,3,3,3,540.0
160.0,12,3.66,123.95,6,3,3,6,1140.0
147.0,11,3.53,76.73,2,3,3,3,588.02
86.18,7,1.14,71.82,3,4,4,3,574.56
130.0,1,5.3,52.0,4,2,2,2,660.0
119.0,9,4.92,54.08,2,2,2,2,476.0
176.73,0,3.95,43.18,1,1,1,2,411.2
